userId,완료한 Stage
bulgaria.act,4
1435408,4
bulgaria.badge,4
576479,4
1863845,4
2068355,4
576496,4
2136123,4
1304226,4
1718444,4
576478,4
474385,4
1247356,3
555469,4
1727133,4
1565558,4
2169716,4
2149315,4
1774621,4
2142762,4
1437868,4
1782330,4
1718446,4
2149327,4
2174123,4
1949446,4
1006681,4
524033,4
1740968,4
1949593,4
1794191,4
1517260,4
1996173,3
1124015,3
1807482,3
2055528,4
1178761,4
474420,4
1436435,4
2080355,4
576489,4
1400206,4
949255,4
1721492,3
949253,3
1710652,3
1825201,3
1825247,3
803511,3
2031484,3
2034239,4
2018536,4
1445532,4
2008006,3
1564056,3
1297858,3
1445536,3
1436411,3
2145784,4
803520,3
803544,3
1304272,3
1713113,3
2089835,3
1734302,3
1544694,3
1734310,3
1556382,3
1297872,3
1304253,3
1297848,3
1297868,3
1304278,3
1549810,3
1297864,3
1758190,4
1549822,3
2077679,4
1297929,3
1297931,3
1297927,3
1110495,3
1301479,3
1484017,3
1446606,3
1553005,3
1720435,3
1301647,3
1014456,3
2010533,4
1486994,3
1434173,3
1301493,3
1435614,3
1439698,3
1297315,4
1306805,4
1301487,3
1301483,3
1178847,4
1009886,3
1486793,3
1299483,3
1009747,3
1486824,3
1297313,4
1301532,3
1560671,3
1009741,3
1526692,3
1299340,3
1710729,4
1710737,4
1009717,3
2136073,3
1007758,3
1301481,3
1301058,3
1301056,3
1553741,3
1301054,3
1301052,3
1822605,3
1297311,4
1444715,4
1007742,3
1546411,4
1733215,3
939609,3
1435428,3
1718768,3
1969790,3
1824241,3
1833088,4
1144721,3
1311293,3
1602852,3
1311285,3
1658579,3
1311287,3
1311291,3
2089753,3
1740972,4
1444650,3
1444662,3
1563395,3
1563381,3
1563398,3
1445579,3
1445587,3
1301414,3
1544027,3
1299356,3
1299350,3
1301285,3
1558565,4
1301410,3
1301412,3
1100842,3
1811524,3
1999587,3
1715763,3
1444656,3
1828690,4
939605,3
1628898,3
1704930,3
1538984,3
1003507,3
1444647,3
1438417,3
1301534,3
1301520,3
1486848,3
1004344,3
1301524,3
1301526,3
1437929,3
939032,3
1301530,3
920005,3
1446676,3
1012461,3
1005593,3
957643,3
1486448,3
1559393,3
952286,3
1005220,3
1486450,3
1010588,3
1760077,3
1747301,3
1011744,3
1308896,3
1309091,3
1488856,3
1011697,3
1445574,3
933408,3
1311763,3
1011736,3
933472,3
1492187,3
1299344,3
933411,3
1006929,3
1135032,3
1306726,3
1839965,3
1306699,3
1005543,3
1005474,3
1004335,3
1311757,3
939910,3
1568317,3
1005462,3
939900,3
1311753,3
1005228,3
2200365,3
1292400,3
1311733,3
1005203,3
1006961,3
2125070,3
1309029,3
1837473,3
1005224,3
1837462,4
1006898,3
2165300,3
1837481,3
1309093,3
1309141,3
1309734,3
1304706,3
1006896,3
1538907,3
2200513,3
952302,3
841772,3
1309097,3
1006709,3
1488848,3
1005577,3
1309083,3
1005563,3
1005547,3
1541753,3
1302104,3
1852504,3
1005528,3
1852422,3
1839977,3
1005498,3
1178972,4
1178970,4
1838070,3
1308956,3
1178968,4
1436398,3
1437896,3
1299485,3
1838067,3
1299489,3
1558161,3
2196462,3
1179207,4
1838077,3
1179209,4
1111588,3
1850712,3
1299475,3
2050166,3
1179211,4
1832546,3
1444636,3
1487597,3
1780637,3
1293197,3
524538,3
1179218,4
1005380,3
1007609,3
1771463,3
2103640,3
1179213,4
1836165,3
1303078,4
1179216,4
1290355,3
1005334,3
1836160,3
1560360,3
1837574,3
1005298,3
1179226,4
1005294,3
1179230,4
1013434,3
1459038,3
1179387,4
1303090,3
1985064,3
1564883,4
2123111,
1179367,4
1136730,3
1179801,4
1013518,3
1012490,4
1837568,3
1308421,3
1837608,3
933364,3
1144586,3
1837610,3
1004421,3
456959,3
1179849,4
1837612,3
1309052,3
1179861,4
1145194,4
1631143,4
1179924,4
1311597,4
1558641,4
934874,4
1180297,4
1830275,3
1180299,4
1005644,4
1308507,3
934876,4
2132072,3
1311595,4
1311591,4
1549009,3
1311589,4
1120560,4
1807465,3
1004164,3
1310979,4
1004155,4
1807450,3
1309087,3
1833123,3
1842015,3
1486826,3
1306690,3
1299479,3
1843676,3
1309081,3
1299481,3
1486822,3
1004370,3
1004097,3
1309701,3
1003531,3
1839997,3
1309079,3
1004221,3
1840016,3
1840009,3
1839999,3
1839916,3
1839904,3
1839919,3
1309077,3
1842012,3
1309075,3
1842017,3
1309717,3
1842021,3
1309073,3
1842019,3
1308447,3
2000770,3
1309736,3
1837540,3
1007655,3
1837553,3
1309699,3
1560388,3
1833076,3
952917,3
1838607,3
1838610,3
952915,3
1838620,3
1838626,3
1445598,3
1840368,3
1311318,3
1843388,3
1843396,3
1005646,3
1843379,3
1311271,3
1843692,3
934878,3
1486838,3
1486836,3
1486834,3
1293247,4
1486832,3
1010932,3
1486828,3
1010926,3
1003527,3
1486781,3
1003487,3
1293245,3
1169018,3
1293243,3
1311314,3
1293241,3
1003469,3
975509,3
972092,3
964609,3
1311316,3
964111,3
1843660,3
1843668,3
1838031,3
1838041,3
1838378,3
1838048,3
1838159,3
1838154,3
1850704,3
1838239,3
1838241,3
1849521,3
958857,3
958853,1
